200,IAM,2,9A50,1
135,72,21/11/13  1:46:10,System ,D: 10/0,Zone 205 - ,System Zone  ,Loop 9 - Device  10    ,PM Task Restarted,16510,0,2058,                                                                              

135,73,21/11/13  1:47:07,System ,D: 10/0,Zone 205 - ,System Zone  ,Loop 9 - Device  10    ,PM Task Restarted,16510,0,2058,                                                                              

135,74,21/11/13  1:48:04,System ,D: 10/0,Zone 205 - ,System Zone  ,Loop 9 - Device  10    ,PM Task Restarted,16510,0,2058,                                                                              

135,75,21/11/13  1:49:01,System ,D: 10/0,Zone 205 - ,System Zone  ,Loop 9 - Device  10    ,PM Task Restarted,16510,0,2058,                                                                              

135,76,21/11/13  1:49:58,System ,D: 10/0,Zone 205 - ,System Zone  ,Loop 9 - Device  10    ,PM Task Restarted,16510,0,2058,                                                                              

135,77,21/11/13  1:50:55,System ,D: 10/0,Zone 205 - ,System Zone  ,Loop 9 - Device  10    ,PM Task Restarted,16510,0,2058,                                                                              

135,78,21/11/13  1:51:52,System ,D: 10/0,Zone 205 - ,System Zone  ,Loop 9 - Device  10    ,PM Task Restarted,16510,0,2058,                                                                              

135,79,21/11/13  1:52:49,System ,D: 10/0,Zone 205 - ,System Zone  ,Loop 9 - Device  10    ,PM Task Restarted,16510,0,2058,                                                                              

135,80,21/11/13  1:53:46,System ,D: 10/0,Zone 205 - ,System Zone  ,Loop 9 - Device  10    ,PM Task Restarted,16510,0,2058,                                                                              

135,81,21/11/13  1:54:43,System ,D: 10/0,Zone 205 - ,System Zone  ,Loop 9 - Device  10    ,PM Task Restarted,16510,0,2058,                                                                              

135,82,21/11/13  1:55:40,System ,D: 10/0,Zone 205 - ,System Zone  ,Loop 9 - Device  10    ,PM Task Restarted,16510,0,2058,                                                                              

135,83,21/11/13  1:56:37,System ,D: 10/0,Zone 205 - ,System Zone  ,Loop 9 - Device  10    ,PM Task Restarted,16510,0,2058,                                                                              

135,84,21/11/13  1:57:34,System ,D: 10/0,Zone 205 - ,System Zone  ,Loop 9 - Device  10    ,PM Task Restarted,16510,0,2058,                                                                              

135,85,21/11/13  1:58:31,System ,D: 10/0,Zone 205 - ,System Zone  ,Loop 9 - Device  10    ,PM Task Restarted,16510,0,2058,                                                                              

135,86,21/11/13  1:59:28,System ,D: 10/0,Zone 205 - ,System Zone  ,Loop 9 - Device  10    ,PM Task Restarted,16510,0,2058,                                                                              

135,87,21/11/13  2:00:25,System ,D: 10/0,Zone 205 - ,System Zone  ,Loop 9 - Device  10    ,PM Task Restarted,16510,0,2058,                                                                              

135,88,21/11/13  2:01:22,System ,D: 10/0,Zone 205 - ,System Zone  ,Loop 9 - Device  10    ,PM Task Restarted,16510,0,2058,                                                                              

135,89,21/11/13  2:02:19,System ,D: 10/0,Zone 205 - ,System Zone  ,Loop 9 - Device  10    ,PM Task Restarted,16510,0,2058,                                                                              

